text,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,
"A decent read on Cardano.
https://t.co/TADuep64Dh",en,"Vancouver, BC, Canada",,,,cosmicblend,Fri Dec 29 04:14:56 +0000 2017,0,0,1,False,0,False,
Ethereum will pass bitcoins for cryptocurrency #Ethereum #Cardano #Ripple: https://t.co/2PDrgrKZXq via @YouTube,en,Islington,,,,IslingtonCars,Fri Dec 29 04:11:27 +0000 2017,0,0,0,False,0,False,
Run away from IOTA while you still can #Ethereum #Cardano #Ripple: https://t.co/KPOHg1lvCw via @YouTube,en,Islington,,,,IslingtonCars,Fri Dec 29 04:11:16 +0000 2017,0,0,0,False,0,False,
#Bitcoin on a unstoppable bull run! Are you a believer yet #Ethereum #Cardano #Ripple: https://t.co/AXJBagQnnO via @YouTube,en,Islington,,,,IslingtonCars,Fri Dec 29 04:10:27 +0000 2017,0,0,0,False,0,False,
"https://t.co/CTHrUNsWQN 
fantastic video on this page about blockchain development through the generations $ada #cardano",en,"New Toronto, Toronto",,,,davin_goodman,Fri Dec 29 03:58:52 +0000 2017,0,0,0,False,0,False,
Balanced in depth review of Cardano $ADA and compared to $ETH and $NEO. 3 big players in the future https://t.co/KxWNbIniqw,en,"Queensland, Australia",,,,Dunc2k,Fri Dec 29 03:03:30 +0000 2017,0,0,0,False,0,True,
Want to learn more about #Cardano. Read this: https://t.co/ZI5BFowk9m,en,"Toronto, Canada",,,,sbambra,Fri Dec 29 02:44:24 +0000 2017,0,0,0,False,0,False,
Is Cardano Better than Ethereum?: https://t.co/Myw2c5HDNH via @YouTube,en,"London, England",,,,MinicabLeyton,Fri Dec 29 02:04:54 +0000 2017,0,0,0,False,0,False,
"The coin that achieved what all the other coins have been trying at achieve from Zero to a Hero 

#RaiBlocks 
#RaiBlocks 

Before:
#xrp #cardano #crypto #xlm 
Ripple, 
Cardano, 
Tron 
and many many others well done to the Cryptonians that believed in them n hold*d",en,"London, England",,,,AceAbdel20,Fri Dec 29 00:34:32 +0000 2017,0,0,0,False,0,False,
"I’ve just bought back into $ada for its next pump. #cardano is a great next gen project with huge huge potential. Won’t be selling until it hits $1. 💰🚀🌙

$btc $eth $bch $xrp $ltc $xmr $neo $iota https://t.co/RbmI9cePtP",en,"Brisbane, Qld, Australia",,,,jrozcan,Fri Dec 29 00:11:29 +0000 2017,0,1,0,False,0,True,
Like i said the pump is noce and easy! Make your money for New Years Celebrations! Verge is up 16% in 24h #verge #xvg #bitcoin #btc #crypto #cryptocurrency #tron #trx #litecoin #ethereum #bitcoincash #iota #miota #cardano #ada #ico #ripple #xrp #bank #investing #trading #cash https://t.co/kbzPAxQvpZ,en,"London, England",,,,CryptoInvest18,Thu Dec 28 23:50:21 +0000 2017,0,0,0,False,0,False,
"Bitcoin (0.2): $14,305.70
Ethereum (0.49): $718.77
Ripple (0.77): $1.33
Bitcoin Cash (0.55): $2,638.27
Litecoin (0.5): $250.86
Cardano (-0.18): $0.38
IOTA (1.01): $3.39
Dash (1.27): $1,084.08
NEM (1.51): $0.88
Monero (1.34): $369.85",en,Canada,,,,shereadsall,Thu Dec 28 21:33:28 +0000 2017,0,0,0,False,0,False,
....  ADA/Cardano still my favourite alt coin... @ADAcoin_ @Cardano_ #ADA #Cardano #cryptotwitter #cardano #investing #altfolio #CryptoCurrencies #crypto #Bitcoin #CardanoCoin https://t.co/zS6mtpF8AH,en,"London, England",,,,TheCryptoGurl,Thu Dec 28 21:10:21 +0000 2017,0,0,0,False,0,False,
Cardano and trx are a coin to watch out they might surprise us this new year especially ripple https://t.co/eF2pnDzU0B,en,"Blackpool, England",,,,rockycrypto1,Thu Dec 28 21:01:36 +0000 2017,0,0,0,False,0,False,
We all seen that before! Verge is on a pump again! Buy and make some quick money!!! 💰💰💰🍾 #crypto #cryptocurrency #verge #xvg #tron #bitcoin #btc #cardano #bitcoincash #miota #iota #ethereum #money #ether #tether #ada #gold #sale #bank #satoshi #blockchain #ripple #xrp #ico https://t.co/T8X5jg96wK,en,"London, England",,,,CryptoInvest18,Thu Dec 28 20:39:27 +0000 2017,0,1,1,False,0,False,
What's going on with cardano. Worth buying? @davidgokhshtein,en,australia,,,,pkaza84,Thu Dec 28 20:01:56 +0000 2017,0,2,0,False,0,False,
Trading Ideas: #cardano $ADA #ADA confirmed support at 2600 sat https://t.co/tKQRFoJ1QN 🚂 → via https://t.co/UJgiPwXSS1 https://t.co/uJOspcEvwV,en,,,,,AlertTrade,Thu Dec 28 19:46:16 +0000 2017,0,0,0,False,0,False,
"#XVG the moon is waiting for us ?! #XVG !!! 🚀🚀🚀🚀🚀
#Verge #WraithProtocol #BUY #Tothemoon #BTC #ETH $LTC #DOGE #Monero #BCH #XRP #Cardano #IOTA #DASH #NEM #Crypto #Darknet #Coinmarketcap #VergeFam  #VergeCoin",en,gateshead,,,,A_stevenson1984,Thu Dec 28 19:28:03 +0000 2017,0,0,3,False,0,False,
What cryptocurrency should I cover in my 2018 Price Prediction video series (blockchains and smart contracts edition)? @EOS_io @helloiconworld @dragonchaingang @CardanoStiftung #eos #icon #icx #dragonchain #drgn #ada #cardano #poll #cryptocoins #blockchain #cryptocurrency,en,,,,,Crypto0Coins,Thu Dec 28 17:45:47 +0000 2017,1,17,8,False,0,False,
"If anyone wants a tracking spreadsheet and comprehensive chart work for their crypto folios; RT and like this now. 🎄👾📊❤️

#cryptotwitter #cardano #investing #altfolio #CryptoCurrencies #crypto #Bitcoin #blockchain https://t.co/YRK8m9J1qX",en,"Adelaide, Australia",,,,SebCavlov,Thu Dec 28 17:01:22 +0000 2017,0,17,50,False,0,False,
Blog on the rapid progress and groundbreaking innovation of the Cardano project https://t.co/IrsQLgVIIE $ADA #cryptocurrency #blockchain,en,"Canmore, AB, Canada",,,,brentkearney,Thu Dec 28 16:38:15 +0000 2017,0,1,0,False,0,False,
"Record per #ripple: quota $1.37
#bitcoin #cryptocurrency #CryptoNews  #blockchain #CryptoCurrencies #xrp #ethereum #cryptomonete #nem #monero #investire  #cryptovalute #Dash #ripple #Mercato #RichTraders #vergecoin #navcoin #cardano #coinbase #wallets

https://t.co/IHZByZ2E9w https://t.co/ml4UaeBNNG",en,"London, England",,,,MonetaCrypto,Thu Dec 28 16:08:44 +0000 2017,0,0,3,False,0,False,
The origin of Cardano (ADA) smart contact..https://t.co/4HFcsx62pc #token #CryptoCurrencies  #cryptocurrency  #Cardano,en,"Montreal, Canada",Canada,CA,"[[[-73.972965, 45.410095], [-73.972965, 45.705566], [-73.473085, 45.705566], [-73.473085, 45.410095]]]",Eftakhairul,Thu Dec 28 13:58:59 +0000 2017,0,0,0,False,0,False,
