,lang,user-location,place-country,place-country_code,location-coordinates,user-screen_name,created_at,quote_count,reply_count,retweet_count,retweeted,is_retweet,is_quote_status,Unnamed: 14,text
333,en,"London, England",,,,MonetaCrypto,Sat Dec 23 12:34:08 +0000 2017,0,1,1,False,0,False,,arriva goldman sachs ! ! https : //t.co/4poohtx2n2 # bitcoin # coinbase # cryptocurrency # bitcoincash # blockchain # finance # cryptocurrencies # ripple # ethereum # cryptomonete # cardano # navcoin # investire # cryptovalute # dash # litecoin # monero # analisi # mercato # gold # # sachs https : //t.co/uxdclcpmwx
334,en,"London, England",,,,CryptoInvest18,Sat Dec 23 12:22:59 +0000 2017,0,1,0,False,0,False,,opinions altcoin ? 350 % week ? john mcafee seems endorse it.. # burst # crypto # cryptocurrency # bitcoin # btc # litecoin # ethereum # ether # bitcoincash # verge # tron # cardano # digibyte # elclasico https : //t.co/qohxtlxgya
335,en,"London, England",,,,CryptoInvest18,Sat Dec 23 11:47:58 +0000 2017,0,0,0,False,0,False,,"better view view todays crypto markets ! loaded yesterday like told , celebrate christmas best champagne 🥂 ! get alrcoins https : //t.co/mvnh435cnd # crypto # cryptocurrency # cardano # bitcoin # iota # miota # tron # verge https : //t.co/a0qhr7vcuc"
336,en,"England, United Kingdom",,,,RedDevilShqipe,Sat Dec 23 09:09:17 +0000 2017,0,0,0,False,0,False,,# verge manz ? ? ? ? ? # verge # xvg # bestcrypto ! 2018 gon big ! # verge # vertcoin # litecoin # eos # iota # zcoin # ripple # cardano # bitcoingold
337,en,"London, England",,,,CryptoInvest18,Sat Dec 23 07:32:55 +0000 2017,0,0,0,False,0,False,,congrats hodlers ! ! ! make money ! ✅💎💸🚀🚀🚀i hope loaded well ! lets make ! https : //t.co/mvnh435cnd # crypto # cryptocurrency # bitcoin # litecoin # ethereum # ether # bitcoincash # btc # btg # ripple # xrp # verge # tron # trx # xvg # cardano # https : //t.co/s3s8y3nloo
338,en,"London, England",,,,CryptoInvest18,Sat Dec 23 00:21:46 +0000 2017,0,0,0,False,0,False,,much verge coins ? # verge # vergecoin # crypto # cryptocurrency # bitcoin # iota # miota # xvg # btc # bitcoincash # tron # trx # money # ripple # bank # invest # trading # dump # crash # cardano # # ethereum # ether # rdd # ost # ico # bitcoingold # btg # poll # binance # finance # fund
339,en,"Gold Coast, Australia",,,,rickadlam,Fri Dec 22 23:59:02 +0000 2017,0,0,0,False,0,False,,cardano long term buy hold crypto ? action supposed start 2018 token . register buy cardano australia https : //t.co/dsl5tzfdxe charles hoskinson explains cardano https : //t.co/zrfwvm5egk
340,en,"Winnipeg, Manitoba",,,,michaelf318is,Fri Dec 22 18:00:56 +0000 2017,0,0,0,False,0,False,,"case ever doubted blockchain architects really , really smart . cardano interview | w/ charles hoskinson https : //t.co/1rix9gndzp via @ youtube"
341,en,Norwich,,,,Chubzilla100,Fri Dec 22 11:59:12 +0000 2017,0,0,0,False,0,False,,liked @ youtube video https : //t.co/3hfm2e73fd iohk | cardano whiteboard ; overview charles hoskinson
342,en,Toronto,,,,mybeautyexperts,Fri Dec 22 10:06:04 +0000 2017,0,0,0,False,0,False,,"icymi : bitdegree # cryptocurrency ico powered 29,000,000 active user base @ matrixthinker # crowdsale # blockchain # ico via @ bitdegree_org # cryptocurrency # bitcoin # cardano # verge # ethereum # stellar # tron # status https : //t.co/so7ziijfu9 https : //t.co/f9ic5o6oe8"
